ResponseId,positive,neutral,negative,unknown,total
R_cOUlx92FJVlCFcB,2,4,0,0,6
R_2xwR2Eer81roDqk,4,1,3,0,8
R_27DwMi3q3spD60o,3,5,2,0,10
R_3PcRToEUWk5pgSl,4,4,0,0,8
R_u9S1XDvMR3MBA4N,4,4,0,0,8
R_2TnpVZwExJWh6ew,9,1,0,0,10
R_0MzJdiucOXZUoAF,4,5,0,0,9
R_C7bMkS5vh2wPWYp,3,4,1,0,8
R_1UfVKpeedtaZgo9,3,6,0,0,9
R_Z9ttqeFcdte8x6V,0,0,8,0,8
R_2fe3KyFExtMQYh4,6,2,0,0,8
R_ZDHI8AkdytmtJIZ,3,6,0,0,9
R_2azwJ1a1b71NFvk,3,2,1,0,6
R_27JyYKSbX3sJezM,7,5,0,0,12
R_3MogbcsArSjqGCV,3,5,0,0,8
R_2AGdrS7sKXGZdQQ,1,7,0,0,8
R_bO5iGiW8pdWFyox,5,5,0,0,10
R_2AYXEBnQW8qEdq4,5,5,0,0,10
R_5tYiGY5TfjvWYal,6,2,0,0,8
R_2e8taNECKTH30pT,5,2,2,0,9
R_31pDJKq1zDutc7i,2,4,4,0,10
R_piWN1l9Q7FnG6aJ,3,6,1,0,10
R_1K6VhJ2Hotz8fx8,5,1,1,0,7
R_83bccUrOvP3thv3,4,2,2,0,8
R_stjcx23rlXTCPJv,5,4,0,0,9
R_3RkBsABVREs06Ic,7,5,1,0,13
R_3DimpuKEG22WyVj,9,1,0,0,10
R_3oXtpe6nDwxIT8s,7,4,0,0,11
R_0DMt0alimN4KBQl,5,4,0,0,9
R_2aLcP5fvlLGFNgt,5,4,0,0,9
R_vDoDJAtyo3uFkJ3,5,3,1,0,9
R_1Ow5OaJtP9E3Tsn,6,3,0,0,9
R_3EFH21YsdVmLp4W,6,2,1,0,9
R_24xfL4xl1zSEJJh,7,2,1,0,10
R_NUBjvUmhTfBU3Tz,3,2,2,0,7
R_1lyFY91S3KqMKDz,3,6,0,0,9
R_1H12fPIvatEsB9m,4,6,0,0,10
R_2Yuet59ttkRCpma,5,4,1,0,10
R_129C7KkMCytdaO5,4,2,1,0,7
R_5bYi584TofKsGK5,8,2,0,0,10
R_3M598j0ZiWYitUT,3,4,2,0,9
R_5usoovquG9sRE9H,6,0,0,0,6
R_1f2Dro8wXAJKiiN,6,3,0,0,9
R_1lnPvV0gIRQrPRI,4,5,0,0,9
R_2fcIJXLbpC2pBG2,2,3,5,0,10
R_usG7LetYP77T9bb,7,1,2,0,10
R_1g1kzGIj4Gr3Evw,5,4,1,0,10
R_3M6hxFN5RcFs7cd,6,2,0,0,8
R_3nB4S5A3IiMFVZl,6,4,0,0,10
R_1LduYveMMeLIdCV,4,6,1,0,11
R_07CNmndAdX2BEB3,5,1,2,0,8
R_2EzZ8uCaYMXQ1gm,7,2,1,0,10
R_refhG3A9jDbc8HT,1,4,1,0,6
R_1q3bnLEqnxBinc2,3,2,2,0,7
R_ugB7l6t20F02MbT,4,4,0,0,8
R_SMEiVEWOCnkLIKR,4,1,0,0,5
R_1FRmfYVK1hLisGM,7,4,0,0,11
R_3GoXa8m8iwFkV14,6,0,0,0,6
R_24OvJUsd0cllWpp,9,1,0,0,10
R_2cBiURHEM8QxyfI,5,3,2,0,10
R_2dXEGQQqhUzHO6N,3,5,0,0,8
R_ctKau98eELujHTb,5,4,1,0,10
R_29tcmre4rbw9ONa,8,2,0,0,10
R_2ZOe91JXf9jJhb2,7,2,0,0,9
R_3Rg9aVdf9zdBfCd,0,1,5,0,6
R_1jND35jvQkasr66,6,2,0,0,8
R_UaVS02XLj6cp6g1,6,4,0,0,10
R_xo74s607VfARgMp,7,1,0,0,8
R_1gLUikYrhWnWPiB,6,3,0,0,9
R_1PYwcrBIXusK1kU,6,1,3,0,10
R_12fNbdCdDieMWBm,1,3,5,0,9
R_10YiGDdMJilsrbN,8,1,0,0,9
R_vMlnBIHEnnipaBr,5,5,1,0,11
R_2yduJ9e9GESM9G3,2,2,4,0,8
R_2DSw0uxoAgtHiGS,3,6,0,0,9
R_3s5pK2I5eERzoGs,6,3,1,0,10
R_Q9VWOX7jD9xJzJT,5,1,4,0,10
R_3Jrvz6GlJdpvNT2,4,1,1,0,6
R_12tklM4za9VdN7g,1,5,0,0,6
R_2ZEpH33h50JPN9n,7,2,1,0,10
R_6VfRn6zGIPUYq7n,2,3,1,0,6
R_bjdVNGub8WsnIqJ,4,0,0,0,4
R_1yOKtK1HLyynjUJ,3,5,0,0,8
R_yJSDFyq2OSiNlw5,1,1,0,0,2
R_W1XWV7K3NJK9slP,8,4,0,0,12
R_3sb2qU0yXZQEq91,5,3,0,0,8
R_3Kw2yLtuJFpNMlJ,3,1,3,0,7
R_3PLvUR5ZfYT0qaT,1,1,0,0,2
R_2dmxOrNiJDrywqk,5,4,1,0,10
